date,Open,High,Low,Close,Adjusted_Close,Volume,Dividend_Amount,Split_Coefficient,MAMA,FAMA,TRIX,CMO,MACD,MACD_Signal,MACD_Hist,MIDPOINT,APO,T3,MIDPRICE,KAMA,TRIMA,MFI,ATR,WILLR,NATR,DEMA,ROC,DX,Aroon Down,Aroon Up,Chaikin A/D,TRANGE,ADOSC,OBV,WMA,ULTOSC,AROONOSC,TEMA,ADXR,MOM,BOP,SAR,PPO,ROCR,Forward_Return,Return_Target
6/29/2022,91.72,92.06,89.22,91.21,89.55411124,1532814,0,1,104.8874,98.0722,-0.307,-22.4178,-8.4138,-4.7165,-3.6972,97.1095,-8.4138,98.2822,97.1224,95.978,95.2077,25.4405,3.3282,-79.6967,3.7164,88.8966,-16.5484,34.5972,65,20,314580988.5,2.7884,-183624.7458,138664863,92.2206,51.419,-45,86.7633,22.514,-17.7585,-0.1796,99.1426,-8.5716,0.8345,-0.015787743,0
6/30/2022,89.47,91.03,88.21,89.77,88.14025399,1180037,0,1,104.72,98.1054,-0.329,-25.33,-8.5288,-5.6541,-2.8747,97.1095,-8.5288,97.4299,97.1224,95.1645,93.7526,25.6213,3.309,-85.2445,3.7543,88.3182,-17.4764,36.6178,60,15,314706524.3,2.9455,-72174.8021,137484826,91.4281,49.2684,-45,86.371,22.3366,-18.6658,0.1064,98.2568,-8.7314,0.8252,-0.009134455,0
7/1/2022,88.96,90.35,86.18,88.95,87.33514083,1345745,0,1,104.5461,98.1376,-0.3497,-26.9731,-8.6001,-6.4639,-2.1362,97.1095,-8.6001,96.5674,97.1224,94.1307,92.4335,21.9133,3.3483,-88.4036,3.8339,87.697,-19.5293,40.5066,55,10,315148651.6,4.0943,120656.556,136139081,90.6478,52.6121,-45,85.9008,22.2583,-21.1952,-0.0024,97.4242,-8.852,0.8047,-0.00663294,0
7/5/2022,86.63,88.42,84.95,88.36,86.75585209,1240301,0,1,104.3682,98.1688,-0.369,-28.1702,-8.5603,-7.127,-1.4332,97.1095,-8.5603,95.7009,96.6363,93.1792,91.3266,21.6,3.3773,-87.3452,3.8928,87.0801,-19.2,42.747,100,5,316346060.3,3.9274,569567.0257,134898780,89.9133,61.4801,-95,85.4241,22.3974,-20.6152,0.4986,96.6415,-8.8646,0.808,0.004187415,0
7/6/2022,88.31,89.33,86.83,88.73,87.11913486,873085,0,1,104.1957,98.1989,-0.3863,-26.798,-7.7609,-7.572,-0.1889,97.1095,-7.7609,94.8388,96.5073,92.3233,90.3992,21.4137,3.3311,-85.8339,3.8236,86.6381,-19.7067,38.6799,95,0,316800064.5,2.4546,845889.2792,135771865,89.3116,57.4592,-95,85.1856,22.4279,-21.382,0.168,95.7152,-8.095,0.8029,0.023103798,1
7/7/2022,90.13,91.57,89.175,90.78,89.13191775,763760,0,1,104.0451,98.2282,-0.3996,-19.3465,-6.8271,-7.7618,0.9348,95.6337,-6.8271,93.9967,96.2418,91.9287,89.6678,21.2765,3.304,-77.6993,3.7069,86.6458,-18.5173,29.1458,90,0,317059966.2,2.7884,964727.1484,136535625,89.0033,59.4368,-90,85.5684,22.0901,-20.2557,0.2714,94.8536,-7.1718,0.8148,-0.006499229,0
7/8/2022,91.38,91.59,89.29,90.19,88.55262902,748051,0,1,103.8902,98.2565,-0.4099,-20.7573,-6.1145,-7.7572,1.6426,95.2684,-6.1145,93.1847,95.857,91.5544,89.1698,21.5254,3.2517,-79.3366,3.6721,86.5695,-16.8019,29.0624,85,0,316897346.4,2.2582,873897.5142,135787574,88.7364,63.1557,-85,85.7836,21.7153,-17.8833,-0.5174,94.0524,-6.4723,0.832,-0.005765606,0
7/11/2022,89.34,90.43,88.5417,89.67,88.04206945,665583,0,1,103.7317,98.2839,-0.4178,-22.0228,-5.3413,-7.567,2.2258,92.19,-5.3413,92.4087,93.5288,91.1693,88.8435,22.0112,3.1818,-77.1056,3.614,86.4325,-16.7099,30.8217,80,0,317027163.8,1.854,798600.2481,135121991,88.506,62.5277,-80,85.8747,21.9347,-17.6632,0.1748,93.3073,-5.6974,0.8329,0.011598082,1
7/12/2022,89.1,92.05,88.91,90.71,89.06318858,595834,0,1,103.585,98.3104,-0.4225,-18.0539,-4.2399,-7.1541,2.9142,90.0518,-4.2399,91.6771,90.5966,91.0417,88.6383,25.0543,3.1769,-60.6652,3.567,86.5201,-10.533,23.8236,75,0,317114451.6,3.083,722970.1842,135717825,88.4569,62.2528,-75,86.2577,22.2619,-10.4855,0.5127,92.6143,-4.559,0.8947,-0.023481424,0
7/13/2022,88.96,89.37,87.55,88.58,86.97185806,730708,0,1,103.4189,98.3359,-0.4262,-23.4235,-3.772,-6.6383,2.8664,89.6621,-3.772,90.9879,89.7358,90.8483,88.4862,25.7239,3.1732,-71.8386,3.6485,86.2355,-8.7122,27.262,70,0,317210808.7,3.1026,656965.1273,134987117,88.2586,58.7038,-70,86.0682,22.724,-8.3003,-0.2088,91.9699,-4.0903,0.9129,-0.023030029,0
7/14/2022,86.42,87.095,85.19,86.54,84.96889362,758226,0,1,103.2344,98.3604,-0.4304,-28.1687,-3.3423,-6.062,2.7198,89.0779,-3.3423,90.3327,89.6719,90.5258,88.3405,26.0287,3.1809,-87.5392,3.7436,85.6459,-10.079,32.8025,65,0,317527233.7,3.3285,670919.6454,134228891,87.9091,54.3321,-65,85.4301,23.389,-9.5239,0.063,91.3705,-3.6603,0.8992,0.024612896,1
7/15/2022,88.29,88.95,87,88.67,87.06022414,810765,0,1,103.0726,98.384,-0.4328,-19.9963,-2.7282,-5.4096,2.6814,87.8015,-2.7282,89.7141,87.7868,90.4219,88.2298,29.7554,3.1402,-58.296,3.6069,85.5365,-6.7123,24.9292,60,0,318105163.6,2.3662,799522.4106,135039656,87.804,54.1885,-60,85.4863,24.0923,-6.2642,0.1949,90.8131,-3.0161,0.9329,0.003608887,0
7/18/2022,90.02,90.7,88.43,88.99,87.37441464,732508,0,1,102.9156,98.4066,-0.4332,-18.7983,-2.1767,-4.7003,2.5236,87.8015,-2.1767,89.1357,87.7868,90.3929,88.1666,34.8612,3.0946,-54.7085,3.5418,85.5178,1.761,17.9832,55,35,317734069.3,2.2288,661373.2986,135772164,87.7588,50.0281,-20,85.6492,24.6206,1.512,-0.4537,90.2948,-2.4261,1.0176,0.035734352,1
7/19/2022,90.3,92.64,90.22,92.17,90.49668274,798493,0,1,102.7914,98.4285,-0.429,-7.5656,-1.3953,-3.993,2.5977,87.8015,-1.3953,88.6114,87.7868,90.3953,88.124,40.6691,3.1191,-19.0583,3.4466,86.0856,5.1329,10.7947,50,30,318222403.8,3.5837,700112.0863,136570657,88.0037,56.2188,-20,86.6246,24.7746,4.4183,0.7727,83.4078,-1.5654,1.0513,0.002061408,0
7/20/2022,91.81,93.03,90.84,92.36,90.68323335,717246,0,1,102.6704,98.4497,-0.4208,-6.9297,-0.7754,-3.3206,2.5452,87.8015,-0.7754,88.1504,87.7868,90.3986,88.1077,38.6668,3.0706,-16.9283,3.3861,86.6244,2.2813,9.3844,45,25,318500787,2.1502,740889.6759,137287903,88.2453,57.0506,-20,87.4986,24.8957,2.0226,0.2511,83.4833,-0.8732,1.0228,0.00822867,0
7/21/2022,91.62,93.23,90.97,93.12,91.42943579,729387,0,1,102.558,98.4703,-0.4089,-4.3327,-0.2381,-2.6677,2.4296,88.1304,-0.2381,87.76,87.7868,90.4224,88.1262,43.659,3.0281,-8.4081,3.3119,87.2375,4.5822,8.638,40,20,319159171.7,2.219,899703.8593,138017290,88.5484,60.6599,-20,88.4277,25.0558,4.0059,0.6637,83.6404,-0.2686,1.0458,-0.000536942,0
7/22/2022,94.07,94.44,92.54,93.07,91.38034353,575455,0,1,102.4462,98.4902,-0.3942,-4.4934,0.2367,-2.0479,2.2846,88.1992,0.2367,87.4429,88.0666,90.4696,88.155,49.042,2.9699,-14.4362,3.2501,87.7686,7.7199,4.1132,35,100,318904760,1.8655,801932.8658,137441835,88.8277,61.3658,65,89.1894,24.8096,6.5489,-0.5263,83.8773,0.2674,1.0772,0.012356291,1
7/25/2022,93.89,94.4,92.73,94.22,92.50946564,873182,0,1,102.3468,98.5094,-0.3764,-0.4115,0.5495,-1.5157,2.0653,88.7392,0.5495,87.2025,88.0666,90.4972,88.1905,46.6029,2.9034,-2.3182,3.1385,88.4409,1.9145,4.1132,30,95,319589711.2,1.6397,906971.6555,138315017,89.1833,65.7084,65,90.1139,24.5238,1.7379,0.1976,84.2313,0.621,1.0191,-0.014752706,0
7/26/2022,93.56,94.885,92.62,92.83,91.14470065,908784,0,1,102.2348,98.5281,-0.3576,-5.1268,0.5624,-1.0341,1.5965,88.7392,0.5624,87.0333,88.2851,90.5011,88.2698,40.9189,2.8694,-20.6844,3.1482,88.7806,0.5198,2.2223,25,100,318849443.4,2.2239,631950.3585,137406233,89.4008,57.9477,75,90.5194,24.1231,0.4713,-0.3223,84.571,0.634,1.0052,0.02326834,1
7/27/2022,92.89,95.325,92.38,94.99,93.26548653,905928,0,1,102.1451,98.5462,-0.3364,2.4298,0.7212,-0.5826,1.3039,89.1172,0.7212,86.9367,88.5011,90.5636,88.4209,48.4255,2.8705,-3.2289,3.0778,89.4648,3.633,0.4796,20,100,319549268.9,2.8915,684663.3746,138312161,89.8179,64.2215,80,91.4,23.7939,3.2695,0.7131,85.0006,0.8106,1.0363,0.001789662,0
